#Identificador;Nombre;Posición;Coste;Equipo;Puntuación
109;Ter Stegen;Portero;31;BAR;14
105;Oblak;Portero;27;ATM;9
141;Keylor Navas;Portero;25;RMA;8
219;Filipe Luis;Defensa;21;ATM;2
325;Marcelo;Defensa;34;RMA;3
324;Carvajal;Defensa;23;RMA;7
327;Sergio Ramos;Defensa;24;RMA;14
232;Piqué;Defensa;25;BAR;6
524;Koke;Medio;35;ATM;13
644;Kroos;Medio;33;RMA;12
648;Modric;Medio;30;RMA;18
819;Messi;Delantero;86;BAR;20
876;Cristiano Ronaldo;Delantero;68;RMA;24
814;Griezmann;Delantero;55;ATM;10
874;Benzema;Delantero;26;RMA;14
